"","north.Species","north.Camr_Nm","north.Latitud","north.Longitd","na.rm"
"61753","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61755","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61757","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61760","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61761","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61763","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61764","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61765","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61770","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61774","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61775","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61776","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61777","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61778","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61779","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61782","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61783","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61784","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
"61785","Leopardus pardalis","LM1-2",9.7685,-83.6823,TRUE
